CustomerID,Recency,Frequency,Monetary,Segment,CLV_Segment
17415,-0.475990507,-0.440181452,-0.369047437,0,Mid CLV
16134,-0.758991154,-0.368244188,-0.354898972,0,Mid CLV
14848,1.109788976,-0.440181452,-0.370751992,3,Low CLV
13150,1.495255374,-0.40421282,-0.36954745,2,Very Low CLV
12701,-0.475990507,-0.350259872,-0.352297642,0,Mid CLV
14170,0.963409332,-0.40421282,-0.368274218,3,Low CLV
13432,1.919756343,-0.422197136,-0.36964137,2,Very Low CLV
14687,-0.344248827,-0.40421282,-0.361321122,0,Mid CLV
12491,-0.676042688,-0.440181452,-0.369457332,0,Mid CLV
12728,-0.519904401,-0.368244188,-0.364188746,0,Mid CLV
13703,0.685288007,-0.422197136,-0.36975836,3,Low CLV
16469,-0.749232511,-0.368244188,-0.366273301,0,Mid CLV
16503,-0.344248827,-0.260338292,-0.342206395,0,Mid CLV
12468,0.050976213,-0.368244188,-0.341719083,0,Mid CLV
14036,0.524270398,-0.440181452,-0.368020885,3,Low CLV
12766,-0.84681894,-0.296306924,-0.286442522,0,Mid CLV
15618,-0.705318617,-0.386228504,-0.366723106,0,Mid CLV
18737,-0.81266369,2.059638473,1.899825444,4,High CLV
16179,-0.568697616,-0.440181452,-0.371570486,0,Mid CLV
15223,0.23639043,-0.368244188,-0.361183828,3,Low CLV
14022,0.231511109,-0.422197136,-0.366590918,3,Low CLV
12904,-0.77850844,-0.422197136,-0.369032403,0,Mid CLV
16668,-0.793146404,-0.22436966,-0.365983765,0,Mid CLV
16299,1.461100124,-0.440181452,-0.371762128,2,Very Low CLV
17946,0.27054568,-0.422197136,-0.372142905,3,Low CLV
17148,-0.612611509,-0.440181452,-0.37235632,0,Mid CLV
13634,-0.705318617,-0.170416712,-0.329599098,0,Mid CLV
18662,-0.817543011,3.69621123,3.791704854,1,Very High CLV
16914,-0.690680653,-0.440181452,-0.371634165,0,Mid CLV
18502,-0.81266369,1.663983521,2.4309068,4,High CLV
17982,2.456481707,-0.440181452,-0.372241404,2,Very Low CLV
18638,-0.817543011,2.419324793,2.622079907,4,High CLV
17647,-0.54918033,-0.40421282,-0.370569682,0,Mid CLV
17914,-0.84681894,-0.440181452,-0.370528468,0,Mid CLV
13871,-0.754111832,-0.152432396,-0.305299336,0,Mid CLV
18018,-0.339369506,-0.386228504,-0.370860601,0,Mid CLV
14452,-0.81266369,-0.386228504,-0.367684432,0,Mid CLV
18000,1.885601093,-0.440181452,-0.372361764,2,Very Low CLV
14236,-0.471111186,-0.368244188,-0.358361134,0,Mid CLV
16131,-0.612611509,-0.242353976,-0.287400383,0,Mid CLV
17249,1.226892692,-0.440181452,-0.37284752,3,Low CLV
15787,-0.739473868,-0.40421282,-0.365243898,0,Mid CLV
15276,-0.544301008,-0.386228504,-0.367823195,0,Mid CLV
18542,-0.81266369,1.753905101,1.61437051,4,High CLV
13629,-0.754111832,-0.116463764,-0.257907293,0,Mid CLV
12762,-0.827301654,-0.422197136,-0.357031567,0,Mid CLV
16173,-0.788267083,-0.350259872,-0.361180631,0,Mid CLV
13003,-0.349128149,-0.40421282,-0.372147485,0,Mid CLV
13973,0.534029041,-0.440181452,-0.371148236,3,Low CLV
14279,1.675790269,-0.422197136,-0.371777594,2,Very Low CLV
17378,0.95853001,-0.440181452,-0.373340708,3,Low CLV
18824,-0.817543011,3.69621123,4.631534745,1,Very High CLV
18528,-0.817543011,1.268328569,1.237185743,4,High CLV
18231,0.070493499,0.04539508,-0.313981785,0,Mid CLV
12938,-0.739473868,-0.440181452,-0.372449117,0,Mid CLV
14968,-0.719956582,-0.422197136,-0.369072062,0,Mid CLV
14994,0.997564582,-0.368244188,-0.365135203,3,Low CLV
18449,-0.81266369,1.538093309,1.646326254,4,High CLV
15588,2.441843743,-0.440181452,-0.36842741,2,Very Low CLV
17045,-0.314972898,-0.368244188,-0.366283929,0,Mid CLV
18521,-0.817543011,3.300556278,3.685429795,1,Very High CLV
13050,-0.793146404,0.171285292,-0.266775075,0,Mid CLV
17102,0.412046004,-0.440181452,-0.373214992,3,Low CLV
18789,-0.817543011,2.041654157,2.987408477,4,High CLV
16292,-0.271059005,-0.368244188,-0.362602477,0,Mid CLV
13026,-0.861456905,-0.296306924,-0.358461016,0,Mid CLV
14807,1.041478476,-0.422197136,-0.368948506,3,Low CLV
18608,-0.817543011,2.059638473,2.130252657,4,High CLV
14679,0.997564582,-0.40421282,-0.362294191,3,Low CLV
17898,-0.4515939,-0.386228504,-0.370850319,0,Mid CLV
15759,0.197355858,-0.332275556,-0.366255848,3,Low CLV
14094,1.280565229,-0.440181452,-0.370538923,3,Low CLV
15252,-0.690680653,-0.368244188,-0.355261259,0,Mid CLV
18270,-0.68092201,-0.40421282,-0.369594281,0,Mid CLV
12457,-0.544301008,-0.31429124,-0.347549806,0,Mid CLV
15030,-0.515025079,-0.31429124,-0.356328334,0,Mid CLV
16974,1.685548912,-0.422197136,-0.370277295,2,Very Low CLV
18414,-0.817543011,1.753905101,1.599814397,4,High CLV
15956,1.822169914,-0.422197136,-0.36809908,2,Very Low CLV
16767,-0.71507726,-0.188401028,-0.303675395,0,Mid CLV
13915,1.05611644,-0.440181452,-0.372823587,3,Low CLV
17356,0.656012078,-0.368244188,-0.365257549,3,Low CLV
16539,-0.851698262,-0.278322608,-0.341189693,0,Mid CLV
13964,1.02196119,-0.422197136,-0.369643098,3,Low CLV
15236,0.592580899,-0.440181452,-0.370661356,3,Low CLV
17121,1.100030333,-0.440181452,-0.370715876,3,Low CLV
18111,2.00758413,-0.440181452,-0.36992866,2,Very Low CLV
17698,0.407166682,-0.440181452,-0.372096507,3,Low CLV
17385,-0.793146404,-0.440181452,-0.371179254,0,Mid CLV
17597,0.177838572,-0.368244188,-0.343331792,3,Low CLV
18093,-0.412559328,-0.31429124,-0.33496264,0,Mid CLV
17423,-0.641887438,-0.40421282,-0.363767273,0,Mid CLV
12454,-0.593094223,-0.368244188,-0.229317285,0,Mid CLV
12375,-0.81266369,-0.422197136,-0.369482389,0,Mid CLV
16643,0.33397686,-0.422197136,-0.365459386,3,Low CLV
18614,-0.817543011,1.466156045,1.496980157,4,High CLV
13102,-0.861456905,0.207253924,-0.27237061,0,Mid CLV
12933,-0.749232511,-0.31429124,-0.358858901,0,Mid CLV
13581,0.641374114,-0.422197136,-0.37101146,3,Low CLV
16791,-0.724835903,-0.188401028,-0.338539891,0,Mid CLV
17391,-0.066127502,-0.422197136,-0.369039142,0,Mid CLV
14958,-0.149075968,-0.350259872,-0.365158445,0,Mid CLV
15667,-0.671163367,-0.440181452,-0.370831829,0,Mid CLV
12897,0.133924679,-0.386228504,-0.368992053,3,Low CLV
18428,-0.817543011,3.912023022,4.109860152,1,Very High CLV
16639,-0.71507726,-0.386228504,-0.358332275,0,Mid CLV
18616,-0.817543011,3.822101442,3.673509573,1,Very High CLV
13816,-0.749232511,-0.422197136,-0.368495928,0,Mid CLV
14403,-0.232024433,-0.350259872,-0.357187179,0,Mid CLV
18840,-0.81266369,1.645999205,1.577681878,4,High CLV
18938,-0.81266369,0.998563828,0.830832328,4,High CLV
17387,-0.768749797,-0.422197136,-0.366660386,0,Mid CLV
13997,1.666031626,-0.40421282,-0.370132052,2,Very Low CLV
15094,1.392789623,-0.422197136,-0.372718175,3,Low CLV
14414,-0.417438649,-0.31429124,-0.352704427,0,Mid CLV
17376,-0.519904401,-0.386228504,-0.369515741,0,Mid CLV
